School Name,City,State,Postcode,Type,Sector,Status,ACARA ID,DEEWR ID
Brigalow State School,BRIGALOW,QLD,4412,Primary,Government,Open,47032,12066
Bright P-12 College,BRIGHT,VIC,3741,Primary/Secondary,Government,Open,44140,14892
Brighton Beach Primary School,BRIGHTON,VIC,3186,Primary,Government,Open,44403,9272
Brighton Catholic Primary School,BUTLER,WA,6036,Primary,Non-Government,Open,49013,18040
Brighton Grammar School,BRIGHTON,VIC,3186,Primary/Secondary,Non-Government,Open,46200,2428
Brighton Primary School,BRIGHTON,TAS,7030,Primary,Government,Open,40220,8350
Brighton Primary School,BRIGHTON,TAS,7030,Primary,Government,Open,40220,8350
Brighton Primary School,BRIGHTON,TAS,7030,Primary,Government,Open,40220,8350
Brighton Primary School,BRIGHTON,TAS,7030,Primary,Government,Open,40220,8350
Brighton Primary School,BRIGHTON,VIC,3186,Primary,Government,Open,44304,9273
Brighton Primary School,BRIGHTON,SA,5048,Primary,Government,Open,49380,6975
Brighton Secondary College,BRIGHTON EAST,VIC,3187,Secondary,Government,Open,45362,9274
Brighton Secondary School,NORTH BRIGHTON,SA,5048,Secondary,Government,Open,49484,6974
Brighton State School,BRIGHTON,QLD,4017,Primary,Government,Open,47218,11145
Brighton-Le-Sands Public School,BRIGHTON-LE-SANDS,NSW,2216,Primary,Government,Open,40999,16179
Brightwater State School,MOUNTAIN CREEK,QLD,4557,Primary,Government,Open,50484,29652
Brightwaters Christian College,BRIGHTWATERS,NSW,2264,Primary,Non-Government,Open,43893,18090
Brigidine College,INDOOROOPILLY,QLD,4068,Secondary,Non-Government,Open,47867,17226
Brigidine College Randwick,RANDWICK,NSW,2031,Secondary,Non-Government,Open,43481,1328
"Brigidine College, St Ives",ST IVES,NSW,2075,Secondary,Non-Government,Open,43682,1326
Brindabella Christian College,LYNEHAM,ACT,2602,Primary/Secondary,Non-Government,Open,49984,2910
Bringelly Public School,BRINGELLY,NSW,2556,Primary,Government,Open,41368,8547
Brinkworth Primary School,BRINKWORTH,SA,5464,Primary,Government,Open,49437,7406
Brisbane Adventist College,MANSFIELD,QLD,4122,Primary/Secondary,Non-Government,Open,47957,16474
Brisbane Bayside State College,WYNNUM WEST,QLD,4178,Secondary,Government,Open,47489,11526
Brisbane Boys College,TOOWONG,QLD,4066,Primary/Secondary,Non-Government,Open,48011,416
Brisbane Central State School,SPRING HILL,QLD,4000,Primary,Government,Open,46557,14422
Brisbane Christian College,SALISBURY,QLD,4107,Primary/Secondary,Non-Government,Open,48105,5525
Brisbane Girls Grammar School,BRISBANE,QLD,4000,Secondary,Non-Government,Open,48034,417
Brisbane Grammar School,BRISBANE,QLD,4000,Primary/Secondary,Non-Government,Open,48033,418
Brisbane Independent School,PULLENVALE,QLD,4069,Primary,Non-Government,Open,48030,419
Brisbane Montessori School,FIG TREE POCKET,QLD,4069,Primary,Non-Government,Open,48085,4074
Brisbane School of Distance Education,COORPAROO,QLD,4151,Primary/Secondary,Government,Open,47625,14423
Brisbane State High School,SOUTH BRISBANE,QLD,4101,Secondary,Government,Open,47408,11231
Brisbane Water Secondary College Umina Campus,UMINA,NSW,2257,Secondary,Government,Open,42106,8704
Brisbane Water Secondary College Woy Woy Campus,WOY WOY,NSW,2256,Secondary,Government,Open,40440,6489
Brisbane Youth Education and Training Centre,WACOL,QLD,4076,Primary/Secondary,Government,Open,47572,17663
Brisbania Public School,SARATOGA,NSW,2251,Primary,Government,Open,41871,8671
Broadbeach State School,BROADBEACH,QLD,4218,Primary,Government,Open,47122,11609
Broadford Primary School,BROADFORD,VIC,3658,Primary,Government,Open,44208,15441
Broadford Secondary College,BROADFORD,VIC,3658,Secondary,Government,Open,45363,11510
Broadmeadows Primary School,BROADMEADOWS,VIC,3047,Primary,Government,Open,44883,8016
Broadmeadows Special Developmental School-Sorrento Street Campus,BROADMEADOWS,VIC,3047,Special,Government,Open,45123,6328
Broadwater Public School,BROADWATER,NSW,2472,Primary,Government,Open,42160,9747
Broadwater State School,BROADWATER,QLD,4380,Primary,Government,Open,47012,11981
Brocklesby Public School,BROCKLESBY,NSW,2642,Primary,Government,Open,42552,10451
Broderick Gillawarna School,REVESBY,NSW,2212,Primary/Secondary,Government,Open,41535,5851
Broke Public School,BROKE,NSW,2330,Primary,Government,Open,41870,9314
Broken Creek Primary School,BROKEN CREEK,VIC,3673,Primary,Government,Open,44154,11696
Broken Hill High School,BROKEN HILL,NSW,2880,Secondary,Government,Open,43098,6480
Broken Hill North Public School,BROKEN HILL,NSW,2880,Primary,Government,Open,42951,11110
Broken Hill Public School,BROKEN HILL,NSW,2880,Primary,Government,Open,42950,11111
Brompton Primary School,RENOWN PARK,SA,5008,Primary,Government,Open,49385,6889
Bronte Public School,BRONTE,NSW,2024,Primary,Government,Open,41000,6923
Brooke Avenue Public School,KILLARNEY VALE,NSW,2261,Primary,Government,Open,42063,15110
Brookfield State School,BROOKFIELD,QLD,4069,Primary,Government,Open,46403,11208
Brooklyn Public School,BROOKLYN,NSW,2083,Primary,Government,Open,41201,8694
Brookman Primary School,LANGFORD,WA,6147,Primary,Government,Open,48614,12346
Brooks High School,ROCHERLEA,TAS,7248,Secondary,Government,Open,40045,6592
Brooks High School,ROCHERLEA,TAS,7248,Secondary,Government,Open,40045,6592
Brooks High School,ROCHERLEA,TAS,7248,Secondary,Government,Open,40045,6592
Brooks High School,ROCHERLEA,TAS,7248,Secondary,Government,Open,40045,6592
Brookside P-9 College,CAROLINE SPRINGS,VIC,3023,Primary/Secondary,Government,Open,45248,29642
Brookstead State School,BROOKSTEAD,QLD,4364,Primary,Government,Open,46626,11937
Brookton District High School,BROOKTON,WA,6306,Primary/Secondary,Government,Open,48165,6702
Brookvale Public School,BROOKVALE,NSW,2100,Primary,Government,Open,41202,7709
Broome Primary School,BROOME,WA,6725,Primary,Government,Open,48707,15147
Broome Senior High School,BROOME,WA,6725,Secondary,Government,Open,48166,6678
Broomehill Primary School,BROOMEHILL,WA,6318,Primary,Government,Open,48306,12525
Brooweena State School,BROOWEENA,QLD,4620,Primary,Government,Open,46999,12671
Broughton Anglican College,MENANGLE PARK,NSW,2560,Primary/Secondary,Non-Government,Open,43697,5492
Broulee Public School,BROULEE,NSW,2537,Primary,Government,Open,42891,14741
Browns Plains State High School,BROWNS PLAINS,QLD,4118,Secondary,Government,Open,47543,11280
Browns Plains State School,BROWNS PLAINS,QLD,4118,Primary,Government,Open,47335,11279
Bruce Rock District High School,BRUCE ROCK,WA,6418,Primary/Secondary,Government,Open,48167,12587
Brungle Public School,BRUNGLE,NSW,2722,Primary,Government,Open,42553,16180
Brunswick East Primary School,BRUNSWICK EAST,VIC,3057,Primary,Government,Open,44571,5157
Brunswick Heads Public School,BRUNSWICK HEADS,NSW,2483,Primary,Government,Open,42161,9909
Brunswick Junction Primary School,BRUNSWICK JUNCTION,WA,6224,Primary,Government,Open,48307,12435
Brunswick North Primary School,BRUNSWICK WEST,VIC,3055,Primary,Government,Open,44623,5880
Brunswick North West Primary School,BRUNSWICK WEST,VIC,3055,Primary,Government,Open,44753,8034
Brunswick Secondary College,BRUNSWICK,VIC,3056,Secondary,Government,Open,45545,6256
Brunswick South Primary School,BRUNSWICK EAST,VIC,3057,Primary,Government,Open,44505,8037
Brunswick South West Primary School,BRUNSWICK WEST,VIC,3055,Primary,Government,Open,44737,6018
Bruny Island District School,BRUNY ISLAND,TAS,7150,Primary,Government,Open,40147,8197
Bruny Island District School,BRUNY ISLAND,TAS,7150,Primary,Government,Open,40147,8197
Bruny Island District School,BRUNY ISLAND,TAS,7150,Primary,Government,Open,40147,8197
Bruny Island District School,BRUNY ISLAND,TAS,7150,Primary,Government,Open,40147,8197
Bruthen Primary School,BRUTHEN,VIC,3885,Primary,Government,Open,44213,12098
Buangor Primary School,BUANGOR,VIC,3375,Primary,Government,Open,44414,10587
Bucasia State School,BUCASIA,QLD,4750,Primary,Government,Open,47349,12951
Buchan Primary School,BUCHAN,VIC,3885,Primary,Government,Open,44375,12099
Buckley Park College,ESSENDON,VIC,3040,Secondary,Government,Open,45364,7995
Budawang School,ULLADULLA,NSW,2539,Primary/Secondary,Government,Open,42903,16181
Buddina State School,BUDDINA,QLD,4575,Primary,Government,Open,47306,5570
Buderim Mountain State School,BUDERIM,QLD,4556,Primary,Government,Open,46569,5488
Budgewoi Public School,BUDGEWOI,NSW,2262,Primary,Government,Open,42023,8730
Builyan State School,BUILYAN,QLD,4680,Primary,Government,Open,47028,12814
Bulahdelah Central School,BULAHDELAH,NSW,2423,Primary/Secondary,Government,Open,42162,6431
Bulimba State School,BULIMBA,QLD,4171,Primary,Government,Open,46404,5789
Bull Creek Primary School,BULL CREEK,WA,6149,Primary,Government,Open,48606,5045
Bulla Camp School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,50082,16531
Bullarah Public School,MOREE,NSW,2400,Primary,Government,Open,42503,9498
Bullarto Primary School,BULLARTO,VIC,3461,Primary,Government,Open,44247,10848
Bulleen Heights School,BULLEEN,VIC,3105,Unknown,Government,Open,45017,8250
Bulli High School,BULLI,NSW,2516,Secondary,Government,Open,42938,9990
Bulli Public School,BULLI,NSW,2516,Primary,Government,Open,42742,9992
Bullimbal School,SOUTH TAMWORTH,NSW,2340,Primary/Secondary,Government,Open,42508,16172
BULLSBROOK COLLEGE,BULLSBROOK,WA,6084,Primary/Secondary,Government,Open,48168,9835
Bullyard State School,GIN GIN,QLD,4671,Primary,Government,Open,46967,12796
Bulman School,ARNOLD,NT,852,Primary/Secondary,Government,Open,50083,7925
Buln Buln Primary School,BULN BULN,VIC,3821,Primary,Government,Open,44395,11880
Bunbury Cathedral Grammar School,GELORUP,WA,6230,Primary/Secondary,Non-Government,Open,49034,65
Bunbury Catholic College,BUNBURY,WA,6230,Secondary,Non-Government,Open,48877,161
Bunbury Primary School,BUNBURY,WA,6230,Primary,Government,Open,48308,12445
Bunbury Senior High School,BUNBURY,WA,6230,Secondary,Government,Open,48122,12446
Bundaberg Central State School,BUNDABERG,QLD,4670,Primary,Government,Open,46405,12763
Bundaberg Christian College,BUNDABERG,QLD,4670,Primary/Secondary,Non-Government,Open,47943,14317
Bundaberg East State School,BUNDABERG EAST,QLD,4670,Primary,Government,Open,46745,12764
Bundaberg North State High School,BUNDABERG NORTH,QLD,4670,Secondary,Government,Open,47420,12766
Bundaberg North State School,BUNDABERG NORTH,QLD,4670,Primary,Government,Open,46521,12765
Bundaberg South State School,BUNDABERG SOUTH,QLD,4670,Primary,Government,Open,46827,12767
Bundaberg Special School,BUNDABERG,QLD,4670,Primary/Secondary,Government,Open,47596,17538
Bundaberg State High School,BUNDABERG,QLD,4670,Secondary,Government,Open,47409,12768
Bundaberg West State School,BUNDABERG WEST,QLD,4670,Primary,Government,Open,47275,12769
Bundalaguah Primary School,BUNDALAGUAH,VIC,3851,Primary,Government,Open,45193,12037
Bundamba State School,BUNDAMBA,QLD,4304,Primary,Government,Open,46406,11674
Bundamba State Secondary College,BUNDAMBA,QLD,4304,Secondary,Government,Open,47511,6579
Bundanoon Public School,BUNDANOON,NSW,2578,Primary,Government,Open,42743,10251
Bundarra Central School,BUNDARRA,NSW,2359,Primary/Secondary,Government,Open,42427,9397
Bundarra Primary School,PORTLAND,VIC,3305,Primary,Government,Open,45097,9968
Bundeena Public School,BUNDEENA,NSW,2230,Primary,Government,Open,41064,6139
Bundoora Primary School,BUNDOORA,VIC,3083,Primary,Government,Open,44928,8111
Bundoora Secondary College,BUNDOORA,VIC,3083,Secondary,Government,Open,45395,16058
Bungaree Primary School,BUNGAREE,VIC,3352,Primary,Government,Open,44388,10144
Bungaree Primary School,ROCKINGHAM,WA,6168,Primary,Government,Open,48560,12410
Bungendore Public School,BUNGENDORE,NSW,2621,Primary,Government,Open,42744,10413
Bungunya State School,BUNGUNYA,QLD,4494,Primary,Government,Open,47164,12268
Bungwahl Public School,BUNGWAHL,NSW,2423,Primary,Government,Open,42163,9529
Buninyong Primary School,BUNINYONG,VIC,3357,Primary,Government,Open,44241,10564
Buninyong Public School,DUBBO,NSW,2830,Primary,Government,Open,43086,15824
Bunker's Hill State School,WESTBROOK,QLD,4350,Primary,Government,Open,46915,11904
Bunnaloo Public School,BUNNALOO,NSW,2731,Primary,Government,Open,42554,10674
Buntine Primary School,BUNTINE,WA,6613,Primary,Government,Open,48311,12715
Bunyip Primary School,BUNYIP,VIC,3815,Primary,Government,Open,44442,11859
Buranda State School,BURANDA,QLD,4102,Primary,Government,Open,46933,11248
Burbridge School,KOONDOOLA,WA,6064,Primary/Secondary,Government,Open,48808,17402
Burc College,GILLES PLAINS,SA,5086,Primary/Secondary,Non-Government,Open,49863,22817
Burdekin Catholic High School,AYR,QLD,4807,Secondary,Non-Government,Open,47908,17240
Burdekin Christian College,AYR,QLD,4807,Primary,Non-Government,Open,48103,4048
Burdekin School,AYR,QLD,4807,Primary/Secondary,Government,Open,47582,17540
Burgmann Anglican School,GUNGAHLIN,ACT,2912,Primary/Secondary,Non-Government,Open,49985,16044
Burgmann Anglican School - Forde Campus,GUNGAHLIN,ACT,2912,Primary/Secondary,Non-Government,Open,40964,77555
Burke Ward Public School,BROKEN HILL,NSW,2880,Primary,Government,Open,42952,11112
Burketown State School,BURKETOWN,QLD,4830,Primary,Government,Open,46769,13070
Burleigh Heads State School,BURLEIGH HEADS,QLD,4220,Primary,Government,Open,47187,11617
Burnett Heads State School,BURNETT HEADS BUNDABERG,QLD,4670,Primary,Government,Open,46632,12770
Burnett State College,GAYNDAH,QLD,4625,Secondary,Government,Open,47474,6543
Burnett Youth Learning Centre,ELLIOTT,QLD,4670,Primary/Secondary,Non-Government,Open,40778,26130
Burnie High School,COOEE,TAS,7320,Secondary,Government,Open,40070,6777
Burnie High School,COOEE,TAS,7320,Secondary,Government,Open,40070,6777
Burnie High School,COOEE,TAS,7320,Secondary,Government,Open,40070,6777
Burnie High School,COOEE,TAS,7320,Secondary,Government,Open,40070,6777
Burnie Primary School,BURNIE,TAS,7320,Primary,Government,Open,40203,8322
Burnie Primary School,BURNIE,TAS,7320,Primary,Government,Open,40203,8322
Burnie Primary School,BURNIE,TAS,7320,Primary,Government,Open,40203,8322
Burnie Primary School,BURNIE,TAS,7320,Primary,Government,Open,40203,8322
Burnside Primary School,BURNSIDE,SA,5066,Primary,Government,Open,49407,7009
Burnside Public School,NORTH PARRAMATTA,NSW,2151,Primary,Government,Open,41620,16153
Burnside State High School,NAMBOUR,QLD,4560,Secondary,Government,Open,47524,5803
Burnside State School,NAMBOUR,QLD,4560,Primary,Government,Open,47296,18115
Buronga Public School,BURONGA,NSW,2739,Primary,Government,Open,42967,4959
Burpengary Meadows State School,BURPENGARY,QLD,4505,Primary,Government,Open,47633,24217
Burpengary State School,BURPENGARY,QLD,4505,Primary,Government,Open,46806,12289
Burra Burri State School,BURRA BURRI,QLD,4410,Primary,Government,Open,47029,12060
Burra Community School,BURRA,SA,5417,Primary/Secondary,Government,Open,49648,7385
Burrabadine Cornerstone Christian School,DUBBO,NSW,2830,Primary,Non-Government,Open,43968,14815
Burraga Public School,BURRAGA,NSW,2795,Primary,Government,Open,42953,10978
Burraneer Bay Public School,CRONULLA,NSW,2230,Primary,Government,Open,41097,8658
Burrawang Public School,BURRAWANG,NSW,2577,Primary,Government,Open,42745,10245
Burren Junction Public School,BURREN JUNCTION,NSW,2386,Primary,Government,Open,42428,9491
Burrendah Primary School,WILLETTON,WA,6155,Primary,Government,Open,48618,12348
Burringbar Public School,BURRINGBAR,NSW,2483,Primary,Government,Open,42164,9910
Burringurrah Remote Community School,MT JAMES,WA,6642,Primary/Secondary,Government,Open,48710,15154
Burrowes State School,MARSDEN,QLD,4132,Primary,Government,Open,47375,14396
Burrumbuttock Public School,BURRUMBUTTOCK,NSW,2642,Primary,Government,Open,42555,10452
Burton Primary School,BURTON,SA,5110,Primary,Government,Open,49674,14706
Burwood East Primary School,BURWOOD EAST,VIC,3151,Primary,Government,Open,44090,8917
Burwood East Special Developmental School,BURWOOD EAST,VIC,3151,Special,Government,Open,45094,16375
Burwood Girls High School,CROYDON,NSW,2132,Secondary,Government,Open,41153,7776
Burwood Heights Primary School,BURWOOD EAST,VIC,3151,Primary,Government,Open,44920,4739
Burwood Public School,BURWOOD,NSW,2134,Primary,Government,Open,41369,7779
Busby Public School,BUSBY,NSW,2168,Primary,Government,Open,41474,8525
Busby West Public School,GREEN VALLEY,NSW,2168,Primary,Government,Open,41481,8526
Busselton Primary School,BUSSELTON,WA,6280,Primary,Government,Open,48313,12498
Busselton Senior High School,BUSSELTON,WA,6280,Secondary,Government,Open,48123,12500
Butchers Creek State School,BUTCHERS CREEK,QLD,4885,Primary,Government,Open,47139,13172
Bute Primary School,BUTE,SA,5560,Primary,Government,Open,49408,7445
Butler Primary School,BUTLER,WA,6036,Primary,Government,Open,48760,18074
Buxton Primary School,BUXTON,VIC,3711,Primary,Government,Open,44338,16070
Buxton Public School,BUXTON,NSW,2571,Primary,Government,Open,41370,10229
Bwgcolman Community School,PALM ISLAND,QLD,4816,Primary/Secondary,Government,Open,46670,17403
Byfield State School,BYFIELD,QLD,4703,Primary,Government,Open,47105,12883
Byford Primary School,BYFORD,WA,6122,Primary,Government,Open,48315,12416
Bylong Upper Public School,BYLONG,NSW,2849,Primary,Government,Open,40572,11071
Bymount East State School,BYMOUNT,QLD,4455,Primary,Government,Open,47003,12209
Byron Bay High School,BYRON BAY,NSW,2481,Secondary,Government,Open,42404,16182
Byron Bay Public School,BYRON BAY,NSW,2481,Primary,Government,Open,42166,9903
Byron Community Primary School,BYRON BAY,NSW,2481,Primary,Non-Government,Open,43833,13276
Cabbage Tree Island Public School,CABBAGE TREE ISLAND,NSW,2477,Primary,Government,Open,42167,9762
Cable Beach Primary School,BROOME,WA,6725,Primary,Government,Open,48700,15093
Caboolture East State School,CABOOLTURE,QLD,4510,Primary,Government,Open,47318,12293
Caboolture Montessori School,CABOOLTURE,QLD,4510,Primary,Non-Government,Open,47953,15428
Caboolture Special School,CABOOLTURE SOUTH,QLD,4510,Primary/Secondary,Government,Open,47607,15891
Caboolture State High School,CABOOLTURE,QLD,4510,Secondary,Government,Open,47459,12295
Caboolture State School,CABOOLTURE,QLD,4510,Primary,Government,Open,46663,12294
Cabra Dominican College,CUMBERLAND PARK,SA,5041,Primary/Secondary,Non-Government,Open,49715,255
Cabramatta High School,CABRAMATTA,NSW,2166,Secondary,Government,Open,41563,6383
Cabramatta Public School,CABRAMATTA,NSW,2166,Primary,Government,Open,41371,8163
Cabramatta West Public School,CABRAMATTA,NSW,2166,Primary,Government,Open,41441,8164
Cabramurra Public School,CABRAMURRA,NSW,2630,Primary,Government,Open,40556,10426
Caddies Creek Public School,GLENWOOD,NSW,2768,Primary,Government,Open,41780,17593
Cadell Primary School,CADELL,SA,5321,Primary,Government,Open,49389,7328
Cadoux Primary School,CADOUX,WA,6466,Primary,Government,Open,48316,12622
Cairnlea Park Primary School,CAIRNLEA,VIC,3023,Primary,Government,Open,44280,17821
Cairns Adventist College,MANUNDA,QLD,4870,Primary,Non-Government,Open,48021,420
Cairns School of Distance Education,MANUNDA CAIRNS,QLD,4870,Primary/Secondary,Government,Open,47622,14468
Cairns State High School,CAIRNS,QLD,4870,Secondary,Government,Open,47410,6563
Cairns West State School,MANUNDA CAIRNS,QLD,4870,Primary,Government,Open,47171,13106
Cairnsfoot School,ARNCLIFFE,NSW,2205,Primary/Secondary,Government,Open,41122,16183
Caladenia Primary School,CANNING VALE,WA,6155,Primary,Government,Open,48776,26837
Calamvale Community College,CALAMVALE,QLD,4116,Primary/Secondary,Government,Open,47231,17875
Calamvale Special School,CALAMVALE,QLD,4116,Primary/Secondary,Government,Open,47611,17404
Calare Public School,ORANGE,NSW,2800,Primary,Government,Open,43080,11003
Caldera School,TWEED HEADS SOUTH,NSW,2486,Primary/Secondary,Government,Open,42366,17879
Caledonian Primary School,BROWN HILL,VIC,3350,Primary,Government,Open,45190,10128
Calen District State College,CALEN,QLD,4798,Primary/Secondary,Government,Open,47182,12952
California Gully Primary School,CALIFORNIA GULLY,VIC,3556,Primary,Government,Open,44050,11363
Calingiri Primary School,CALINGIRI,WA,6569,Primary,Government,Open,48317,12705
Calista Primary School,CALISTA,WA,6167,Primary,Government,Open,48318,12406
Callaghan College Jesmond Campus,JESMOND,NSW,2299,Secondary,Government,Open,40530,9115
Callaghan College Wallsend Campus,WALLSEND,NSW,2287,Secondary,Government,Open,42101,9028
Callaghan College Waratah Technology Campus,WARATAH,NSW,2298,Secondary,Government,Open,42122,6441
Callala Public School,CALLALA BAY,NSW,2540,Primary,Government,Open,42893,16626
Callington Primary School,CALLINGTON,SA,5254,Primary,Government,Open,49409,7264
Calliope State School,CALLIOPE,QLD,4680,Primary,Government,Open,46407,12815
Caloundra Christian College,CALOUNDRA,QLD,4551,Primary/Secondary,Non-Government,Open,48057,4243
Caloundra City Private School,PELICAN WATERS,QLD,4551,Primary/Secondary,Non-Government,Open,47985,18024
Caloundra State High School,CALOUNDRA,QLD,4551,Secondary,Government,Open,47499,12314
Caloundra State School,CALOUNDRA,QLD,4551,Primary,Government,Open,46917,12313
Calvary Christian College,SPRINGWOOD,QLD,4127,Primary/Secondary,Non-Government,Open,48043,4228
Calvary Christian College,MOUNT LOUISA,QLD,4814,Primary/Secondary,Non-Government,Open,48106,2530
Calvary Lutheran School,MORPHETT VALE,SA,5162,Primary,Non-Government,Open,49790,4059
Calvin Christian School,KINGSTON,TAS,7050,Primary/Secondary,Non-Government,Open,40257,17627
Calvin Christian School,KINGSTON,TAS,7050,Primary/Secondary,Non-Government,Open,40257,17627
Calvin Christian School,KINGSTON,TAS,7050,Primary/Secondary,Non-Government,Open,40257,17627
Calwell High School,CALWELL,ACT,2905,Secondary,Government,Open,49936,14383
Calwell Primary School,CALWELL,ACT,2905,Primary,Government,Open,49937,14382
Camberwell Anglican Girls' Grammar School,CANTERBURY,VIC,3126,Primary/Secondary,Non-Government,Open,46204,756
Camberwell Grammar School,CANTERBURY,VIC,3126,Primary/Secondary,Non-Government,Open,46199,757
Camberwell High School,CANTERBURY,VIC,3126,Secondary,Government,Open,45365,8378
Camberwell Primary School,CAMBERWELL,VIC,3124,Primary,Government,Open,44164,8372
Camberwell South Primary School,GLEN IRIS,VIC,3146,Primary,Government,Open,44717,4738
Cambewarra Public School,CAMBEWARRA,NSW,2540,Primary,Government,Open,42746,10068
Camboon Primary School,NORANDA,WA,6062,Primary,Government,Open,48577,9166
Cambooya State School,CAMBOOYA,QLD,4358,Primary,Government,Open,46551,11956
Cambrai Area School,CAMBRAI,SA,5353,Primary/Secondary,Government,Open,49432,7357
Cambridge Gardens Public School,CAMBRIDGE PARK,NSW,2747,Primary,Government,Open,41755,16184
Cambridge Park High School,CAMBRIDGE PARK,NSW,2747,Secondary,Government,Open,41835,10685
Cambridge Park Public School,CAMBRIDGE PARK,NSW,2747,Primary,Government,Open,41693,10687
Cambridge Primary School,CAMBRIDGE,TAS,7170,Primary,Government,Open,40148,8198
Cambridge Primary School,CAMBRIDGE,TAS,7170,Primary,Government,Open,40148,8198
Cambridge Primary School,CAMBRIDGE,TAS,7170,Primary,Government,Open,40148,8198
Cambridge Primary School,CAMBRIDGE,TAS,7170,Primary,Government,Open,40148,8198
Cambridge Primary School,HOPPERS CROSSING,VIC,3029,Primary,Government,Open,45157,14906
Camden Haven High School,LAURIETON,NSW,2443,Secondary,Government,Open,42386,16625
Camden High School,CAMDEN,NSW,2570,Secondary,Government,Open,41566,10219
Camden Park Environmental Education Centre,MENANGLE,NSW,2568,Primary/Secondary,Government,Open,40747,24079
Camden Public School,CAMDEN,NSW,2570,Primary,Government,Open,41372,10220
Camden South Public School,CAMDEN,NSW,2570,Primary,Government,Open,41465,10221
Camdenville Public School,NEWTOWN,NSW,2042,Primary,Government,Open,41001,7591
Camelot Rise Primary School,GLEN WAVERLEY,VIC,3150,Primary,Government,Open,45023,8918
Cameron Downs State School,HUGHENDEN,QLD,4821,Primary,Government,Open,46737,13050
Camira State School,CAMIRA,QLD,4300,Primary,Government,Open,46650,11660
Cammeray Public School,CAMMERAY,NSW,2062,Primary,Government,Open,41203,7611
Camooweal State School,CAMOOWEAL,QLD,4828,Primary,Government,Open,46863,13068
Camp Hill Primary School,BENDIGO,VIC,3550,Primary,Government,Open,44392,11238
Camp Hill State Infants and Primary School,CAMP HILL,QLD,4152,Primary,Government,Open,47281,5429
Campania District School,CAMPANIA,TAS,7026,Primary/Secondary,Government,Open,40138,8187
Campania District School,CAMPANIA,TAS,7026,Primary/Secondary,Government,Open,40138,8187
Campania District School,CAMPANIA,TAS,7026,Primary/Secondary,Government,Open,40138,8187
Campania District School,CAMPANIA,TAS,7026,Primary/Secondary,Government,Open,40138,8187
Campbell High School,CAMPBELL,ACT,2601,Secondary,Government,Open,49912,10311
Campbell House School,GLENFIELD,NSW,2167,Primary/Secondary,Government,Open,41547,16168
Campbell Primary School,CANNING VALE,WA,6155,Primary,Government,Open,48756,17856
Campbell Primary School,CAMPBELL,ACT,2601,Primary,Government,Open,49913,10313
Campbell Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40101,8052
Campbell Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40101,8052
Campbell Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40101,8052
Campbell Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40101,8052
Campbell Town District High School,CAMPBELL TOWN,TAS,7210,Primary/Secondary,Government,Open,40071,6778
Campbell Town District High School,CAMPBELL TOWN,TAS,7210,Primary/Secondary,Government,Open,40071,6778
Campbell Town District High School,CAMPBELL TOWN,TAS,7210,Primary/Secondary,Government,Open,40071,6778
Campbell Town District High School,CAMPBELL TOWN,TAS,7210,Primary/Secondary,Government,Open,40071,6778
Campbellfield Heights Primary School,CAMPBELLFIELD,VIC,3061,Primary,Government,Open,44979,8045
Campbellfield Public School,MINTO,NSW,2566,Primary,Government,Open,41493,16199
Campbells Creek Primary School,CAMPBELLS CREEK,VIC,3451,Primary,Government,Open,44048,10826
Campbelltown East Public School,CAMPBELLTOWN,NSW,2560,Primary,Government,Open,41463,10200
Campbelltown North Public School,CAMPBELLTOWN,NSW,2560,Primary,Government,Open,41456,10202
Campbelltown Performing Arts High School,CAMPBELLTOWN,NSW,2560,Secondary,Government,Open,41558,10201
Campbelltown Public School,CAMPBELLTOWN,NSW,2560,Primary,Government,Open,41373,10203
Camperdown College,CAMPERDOWN,VIC,3260,Primary/Secondary,Government,Open,45319,9779
Campsie Public School,CAMPSIE,NSW,2194,Primary,Government,Open,41374,8564
Cana Catholic Primary School,HILLSIDE,VIC,3037,Primary,Non-Government,Open,46114,17168
Canadian Lead Primary School,BALLARAT EAST,VIC,3350,Primary,Government,Open,45189,16376
Canberra Christian School,MAWSON,ACT,2607,Primary,Non-Government,Open,49986,2062
Canberra Girls' Grammar Junior School,DEAKIN,ACT,2600,Primary/Secondary,Non-Government,Open,49987,77001
Canberra Girls' Grammar School,DEAKIN,ACT,2600,Primary/Secondary,Non-Government,Open,49988,2061
Canberra Grammar Junior School,RED HILL,ACT,2603,Primary/Secondary,Non-Government,Open,49989,77443
Canberra Grammar School,RED HILL,ACT,2603,Primary/Secondary,Non-Government,Open,49990,2060
Canberra Grammar School (Northside Infants),RED HILL,ACT,2603,Primary/Secondary,Non-Government,Open,40354,77000
Canberra High School,MACQUARIE,ACT,2614,Secondary,Government,Open,49885,10378
Canberra Montessori School,HOLDER,ACT,2611,Primary,Non-Government,Open,49991,13363
Candelo Public School,CANDELO,NSW,2550,Primary,Government,Open,42747,10186
Candlebark,ROMSEY,VIC,3434,Primary/Secondary,Non-Government,Open,46379,25117
Candlenut Steiner School,KURANDA,QLD,4881,Primary/Secondary,Non-Government,Open,47969,17648
